-  Epoch: 31, train/loss: 0.767, train/accu: 0.775, memory: 0.104GB, iter: 200
-  Epoch: 31, train/loss: 0.763, train/accu: 0.777, memory: 0.104GB, iter: 250
-  Epoch: 31, train/loss: 0.751, train/accu: 0.779, memory: 0.102GB, iter: 300
-  Epoch: 32, train/loss: 0.982, train/accu: 0.688, memory: 0.088GB, iter: 0
-  Epoch: 32, train/loss: 0.669, train/accu: 0.797, memory: 0.121GB, iter: 50
-  Epoch: 32, train/loss: 0.702, train/accu: 0.789, memory: 0.115GB, iter: 100
-  Epoch: 32, train/loss: 0.710, train/accu: 0.787, memory: 0.137GB, iter: 150
-  Epoch: 32, train/loss: 0.731, train/accu: 0.782, memory: 0.104GB, iter: 200
-  Epoch: 32, train/loss: 0.731, train/accu: 0.781, memory: 0.098GB, iter: 250
-  Epoch: 32, train/loss: 0.739, train/accu: 0.779, memory: 0.098GB, iter: 300
-  Epoch: 33, train/loss: 0.967, train/accu: 0.656, memory: 0.113GB, iter: 0
-  Epoch: 33, train/loss: 0.709, train/accu: 0.787, memory: 0.125GB, iter: 50
-  Epoch: 33, train/loss: 0.723, train/accu: 0.783, memory: 0.100GB, iter: 100
-  Epoch: 33, train/loss: 0.734, train/accu: 0.779, memory: 0.148GB, iter: 150
-  Epoch: 33, train/loss: 0.741, train/accu: 0.775, memory: 0.098GB, iter: 200
-  Epoch: 33, train/loss: 0.744, train/accu: 0.774, memory: 0.129GB, iter: 250
-  Epoch: 33, train/loss: 0.748, train/accu: 0.775, memory: 0.100GB, iter: 300
-  Epoch: 34, train/loss: 0.846, train/accu: 0.719, memory: 0.092GB, iter: 0
-  Epoch: 34, train/loss: 0.709, train/accu: 0.779, memory: 0.148GB, iter: 50
-  Epoch: 34, train/loss: 0.728, train/accu: 0.780, memory: 0.127GB, iter: 100
-  Epoch: 34, train/loss: 0.754, train/accu: 0.774, memory: 0.098GB, iter: 150
-  Epoch: 34, train/loss: 0.763, train/accu: 0.772, memory: 0.125GB, iter: 200
-  Epoch: 34, train/loss: 0.758, train/accu: 0.775, memory: 0.096GB, iter: 250
-  Epoch: 34, train/loss: 0.755, train/accu: 0.778, memory: 0.129GB, iter: 300
-  Epoch: 35, train/loss: 0.548, train/accu: 0.812, memory: 0.123GB, iter: 0
-  Epoch: 35, train/loss: 0.796, train/accu: 0.766, memory: 0.123GB, iter: 50
-  Epoch: 35, train/loss: 0.776, train/accu: 0.770, memory: 0.090GB, iter: 100
-  Epoch: 35, train/loss: 0.773, train/accu: 0.771, memory: 0.082GB, iter: 150
-  Epoch: 35, train/loss: 0.776, train/accu: 0.771, memory: 0.088GB, iter: 200
-  Epoch: 35, train/loss: 0.777, train/accu: 0.770, memory: 0.125GB, iter: 250
-  Epoch: 35, train/loss: 0.770, train/accu: 0.771, memory: 0.082GB, iter: 300
-  Epoch: 36, train/loss: 0.563, train/accu: 0.844, memory: 0.107GB, iter: 0
-  Epoch: 36, train/loss: 0.703, train/accu: 0.787, memory: 0.088GB, iter: 50
-  Epoch: 36, train/loss: 0.760, train/accu: 0.773, memory: 0.102GB, iter: 100
-  Epoch: 36, train/loss: 0.759, train/accu: 0.778, memory: 0.092GB, iter: 150
-  Epoch: 36, train/loss: 0.753, train/accu: 0.780, memory: 0.158GB, iter: 200
-  Epoch: 36, train/loss: 0.759, train/accu: 0.779, memory: 0.131GB, iter: 250
-  Epoch: 36, train/loss: 0.750, train/accu: 0.781, memory: 0.131GB, iter: 300
-  Epoch: 37, train/loss: 1.267, train/accu: 0.625, memory: 0.125GB, iter: 0
-  Epoch: 37, train/loss: 0.758, train/accu: 0.777, memory: 0.094GB, iter: 50
-  Epoch: 37, train/loss: 0.732, train/accu: 0.781, memory: 0.100GB, iter: 100
-  Epoch: 37, train/loss: 0.749, train/accu: 0.777, memory: 0.139GB, iter: 150
-  Epoch: 37, train/loss: 0.738, train/accu: 0.780, memory: 0.170GB, iter: 200
-  Epoch: 37, train/loss: 0.746, train/accu: 0.779, memory: 0.133GB, iter: 250
-  Epoch: 37, train/loss: 0.753, train/accu: 0.779, memory: 0.133GB, iter: 300
-  Epoch: 38, train/loss: 0.899, train/accu: 0.781, memory: 0.119GB, iter: 0
-  Epoch: 38, train/loss: 0.699, train/accu: 0.779, memory: 0.139GB, iter: 50
-  Epoch: 38, train/loss: 0.746, train/accu: 0.768, memory: 0.137GB, iter: 100
-  Epoch: 38, train/loss: 0.739, train/accu: 0.778, memory: 0.104GB, iter: 150
-  Epoch: 38, train/loss: 0.731, train/accu: 0.778, memory: 0.113GB, iter: 200
-  Epoch: 38, train/loss: 0.743, train/accu: 0.776, memory: 0.127GB, iter: 250
-  Epoch: 38, train/loss: 0.753, train/accu: 0.775, memory: 0.127GB, iter: 300
-  Epoch: 39, train/loss: 0.662, train/accu: 0.750, memory: 0.119GB, iter: 0
-  Epoch: 39, train/loss: 0.665, train/accu: 0.801, memory: 0.109GB, iter: 50
-  Epoch: 39, train/loss: 0.710, train/accu: 0.795, memory: 0.113GB, iter: 100
-  Epoch: 39, train/loss: 0.734, train/accu: 0.789, memory: 0.127GB, iter: 150
-  Epoch: 39, train/loss: 0.732, train/accu: 0.787, memory: 0.125GB, iter: 200
-  Epoch: 39, train/loss: 0.740, train/accu: 0.783, memory: 0.098GB, iter: 250
-  Epoch: 39, train/loss: 0.733, train/accu: 0.784, memory: 0.135GB, iter: 300
-  Epoch: 40, train/loss: 1.040, train/accu: 0.750, memory: 0.094GB, iter: 0
-  Epoch: 40, train/loss: 0.767, train/accu: 0.775, memory: 0.125GB, iter: 50
-  Epoch: 40, train/loss: 0.732, train/accu: 0.784, memory: 0.127GB, iter: 100
-  Epoch: 40, train/loss: 0.741, train/accu: 0.781, memory: 0.094GB, iter: 150
-  Epoch: 40, train/loss: 0.746, train/accu: 0.781, memory: 0.141GB, iter: 200
-  Epoch: 40, train/loss: 0.746, train/accu: 0.780, memory: 0.109GB, iter: 250
-  Epoch: 40, train/loss: 0.750, train/accu: 0.779, memory: 0.104GB, iter: 300
-  Epoch: 41, train/loss: 0.655, train/accu: 0.844, memory: 0.102GB, iter: 0
-  Epoch: 41, train/loss: 0.733, train/accu: 0.784, memory: 0.125GB, iter: 50
-  Epoch: 41, train/loss: 0.730, train/accu: 0.786, memory: 0.098GB, iter: 100
-  Epoch: 41, train/loss: 0.773, train/accu: 0.772, memory: 0.098GB, iter: 150
-  Epoch: 41, train/loss: 0.767, train/accu: 0.770, memory: 0.131GB, iter: 200
-  Epoch: 41, train/loss: 0.763, train/accu: 0.774, memory: 0.129GB, iter: 250
-  Epoch: 41, train/loss: 0.763, train/accu: 0.774, memory: 0.094GB, iter: 300
